Кол-во элементов;Кол-во перестановок;Кол-во итераций;Время на сортировку;Тип сортировки
0;0;0;0.000001;heapSort
500;4061;5060;0.000161;heapSort
1000;9087;11086;0.000351;heapSort
1500;14539;17538;0.000567;heapSort
2000;20161;24160;0.000765;heapSort
2500;26088;31087;0.001028;heapSort
3000;32086;38085;0.001238;heapSort
3500;38157;45156;0.001456;heapSort
4000;44312;52311;0.001704;heapSort
4500;50733;59732;0.001940;heapSort
5000;57122;67121;0.002149;heapSort
5500;63606;74605;0.002405;heapSort
6000;70240;82239;0.002609;heapSort
6500;76685;89684;0.004366;heapSort
7000;83340;97339;0.004747;heapSort
7500;89966;104965;0.005252;heapSort
8000;96691;112690;0.005511;heapSort
8500;103369;120368;0.004354;heapSort
9000;110331;128330;0.004320;heapSort
9500;117268;136267;0.004427;heapSort
10000;124187;144186;0.004917;heapSort
10500;131144;152143;0.004877;heapSort
11000;138237;160236;0.005537;heapSort
11500;145186;168185;0.005716;heapSort
12000;152306;176305;0.008504;heapSort
12500;159488;184487;0.007723;heapSort
13000;166347;192346;0.009616;heapSort
13500;173431;200430;0.008168;heapSort
14000;180664;208663;0.008910;heapSort
14500;187835;216834;0.009659;heapSort
15000;194949;224948;0.007455;heapSort
15500;202093;233092;0.011203;heapSort
16000;209324;241323;0.012448;heapSort
16500;216317;249316;0.009177;heapSort
17000;223834;257833;0.011087;heapSort
17500;231161;266160;0.014159;heapSort
18000;238613;274612;0.012412;heapSort
18500;246044;283043;0.009773;heapSort
19000;253385;291384;0.009873;heapSort
19500;260865;299864;0.011885;heapSort
20000;268319;308318;0.014742;heapSort
20500;275920;316919;0.014879;heapSort
21000;283299;325298;0.017411;heapSort
21500;290857;333856;0.016183;heapSort
22000;298385;342384;0.016120;heapSort
22500;306069;351068;0.015192;heapSort
23000;313264;359263;0.016651;heapSort
23500;320979;367978;0.019485;heapSort
24000;328532;376531;0.019279;heapSort
24500;336081;385080;0.015214;heapSort
25000;343817;393816;0.021333;heapSort
25500;351316;402315;0.018110;heapSort
26000;358898;410897;0.016504;heapSort
26500;366494;419493;0.013798;heapSort
27000;374159;428158;0.018859;heapSort
27500;381662;436661;0.017515;heapSort
28000;389352;445351;0.019754;heapSort
28500;397018;454017;0.021953;heapSort
29000;404375;462374;0.025204;heapSort
29500;412174;471173;0.020069;heapSort
30000;419917;479916;0.019287;heapSort
30500;427443;488442;0.018039;heapSort
31000;435199;497198;0.022354;heapSort
31500;442950;505949;0.026122;heapSort
32000;450677;514676;0.023530;heapSort
32500;458230;523229;0.025715;heapSort
33000;466050;532049;0.023907;heapSort
33500;473754;540753;0.024382;heapSort
34000;481513;549512;0.025168;heapSort
34500;489471;558470;0.027693;heapSort
35000;497360;567359;0.027524;heapSort
35500;505475;576474;0.024747;heapSort
36000;513089;585088;0.030818;heapSort
36500;521312;594311;0.029174;heapSort
37000;529087;603086;0.022001;heapSort
38000;544693;620692;0.026429;heapSort
38500;552844;629843;0.029306;heapSort
39000;560759;638758;0.026601;heapSort
39500;568908;647907;0.024844;heapSort
40000;576754;656753;0.022752;heapSort
40500;584922;665921;0.026344;heapSort
41000;592664;674663;0.023463;heapSort
41500;600775;683774;0.022599;heapSort
42000;608729;692728;0.023048;heapSort
42500;616717;701716;0.023770;heapSort
43000;624485;710484;0.023539;heapSort
43500;632632;719631;0.023676;heapSort
44000;640568;728567;0.024541;heapSort
44500;648944;737943;0.024398;heapSort
45000;656830;746829;0.024473;heapSort
45500;665000;755999;0.024928;heapSort
46000;672775;764774;0.031932;heapSort
46500;680815;773814;0.025295;heapSort
47000;689055;783054;0.025732;heapSort
47500;697045;792044;0.026413;heapSort
48000;705376;801375;0.027123;heapSort
48500;712850;809849;0.035213;heapSort
49000;721147;819146;0.031900;heapSort
49500;729298;828297;0.040363;heapSort
50000;737313;837312;0.027532;heapSort
50500;745623;846622;0.027875;heapSort
51000;753781;855780;0.028707;heapSort
51500;761758;864757;0.028858;heapSort
52000;770097;874096;0.029046;heapSort
52500;777643;882642;0.029017;heapSort
53000;786071;892070;0.029460;heapSort
53500;793943;900942;0.035636;heapSort
54000;802152;910151;0.030870;heapSort
54500;810534;919533;0.030251;heapSort
55000;818534;928533;0.030751;heapSort
56000;834773;946772;0.036514;heapSort
56500;842695;955694;0.031666;heapSort
57000;851136;965135;0.036550;heapSort
57500;859109;974108;0.031941;heapSort
58000;867284;983283;0.041648;heapSort
58500;875239;992238;0.043845;heapSort
59000;883503;1001502;0.033045;heapSort
59500;891482;1010481;0.034912;heapSort
60000;899896;1019895;0.033901;heapSort
60500;907763;1028762;0.034112;heapSort
61000;916107;1038106;0.035448;heapSort
61500;924317;1047316;0.040067;heapSort
62000;932470;1056469;0.034798;heapSort
62500;940835;1065834;0.036140;heapSort
63000;948676;1074675;0.035555;heapSort
63500;956822;1083821;0.042233;heapSort
64000;964781;1092780;0.036426;heapSort
64500;973212;1102211;0.048282;heapSort
65000;981166;1111165;0.036722;heapSort
65500;989715;1120714;0.037338;heapSort
66000;998120;1130119;0.037202;heapSort
66500;1006141;1139140;0.038742;heapSort
67000;1014269;1148268;0.038368;heapSort
67500;1022956;1157955;0.043178;heapSort
68000;1031452;1167451;0.040045;heapSort
68500;1039701;1176700;0.048789;heapSort
69000;1048223;1186222;0.039758;heapSort
